
########## OUTPUT ##########
The fifty most used chords in the Top 2000 of 2019 are:
(G,180.51779)
(C,156.6589)
(D,140.5357)
(A,106.72741)
(F,92.9258)
(Em,90.34632)
(Am,75.17919)
(E,73.62939)
(Dm,37.824093)
(Bm,28.822659)
(Bb,27.8132)
(B,26.872005)
(F#m,18.90599)
(Gm,16.449133)
(Am7,13.738431)
(F#,13.506865)
(Eb,13.252374)
(D7,11.747337)
(Em7,11.709919)
(A7,11.560539)
(E7,10.437331)
(C#m,10.236774)
(Ab,9.844742)
(Cadd9,9.603373)
(B7,9.176017)
(Cm,8.929133)
(Fm,7.805945)
(G/B,7.2224813)
(Cmaj7,7.220691)
(Bm7,6.641637)
(G7,6.602749)
(C7,6.5293036)
(G5,6.028384)
(C#,5.548621)
(D/F#,5.5166235)
(Fmaj7,5.1724567)
(Dm7,5.149885)
(Dsus2,4.920076)
(Dsus4,4.912119)
(D5,4.8745255)
(G#m,4.790799)
(A5,4.4034276)
(Asus4,4.1252236)
(C/G,4.11792)
(C/E,3.8650107)
(A7sus4,3.7537715)
(C#m7,3.6675324)
(D#,3.5957603)
(Amaj7,3.5383117)
(Asus2,3.261515)
########## OUTPUT ##########

